10.20-10.45,Break,Break,Break,10.20-10.55,Singing,Break,10.20-10.45
10.45-11.20,UoI,IT,Music,10.55-11.30,Reacter,English B,10.45-11.20
11.20-11.55,UoI,IT,SEL,11.30-12.05,Reacter,English B,11.20-11.55
11.55-12.25,Break,Break,Break,12.05-12.25,Break,Break,11.55-12.25
12.25-13.00,P.Pancasila,Library,UoI,12.25-13.00,BI,UoI,12.25-13.00
13.00-13.35,English A,UoI,UoI,13.00-13.35,BI,UoI,13.00-13.35
13.35-14.10,English A,UoI,BI,13.35-14.35,Excur,UoI,13.35-14.10
14.10-14.20,Preparation,Preparation,Preparation,14.35-14.40,Preparation,Preparation,14.10-14.20
,,,,,,,
5B (Ms. Rina and Math NT),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,IT,PC Session,07.45-08.00
08.00-08.35,UoI,Assembly,Math,08.20-08.55,IT,Reacter,08.00-08.35
08.35-09.10,UoI,BI,Math,08.55-09.30,English B,Reacter,08.35-09.10
09.10-09.45,Math,English A,English B,9.30-10.05,English B,Mandarin,09.10-09.45
09.45-10.20,Math,English A,English B,10.05-10.20,Break,Mandarin,09.45-10.20
10.20-10.45,Break,Break,Break,10.20-10.55,BI,Break,10.20-10.45
10.45-11.20,VA,PSPE,SEL,10.55-11.30,Singing,Math,10.45-11.20
11.20-11.55,VA,PSPE,Music,11.30-12.05,BI,,11.20-11.55
11.55-12.25,Break,Break,Break,12.05-12.25,Break,Break,11.55-12.25
12.25-13.00,BI,UoI,P.Pancasila,12.25-13.00,Math,UoI,12.25-13.00
13.00-13.35,BI,Library,UoI,13.00-13.35,Math,UoI,13.00-13.35
13.35-14.10,BI,UoI,UoI,13.35-14.35,Excur,UoI,13.35-14.10
14.10-14.20,Preparation,Preparation,Preparation,14.35-14.40,Preparation,Preparation,14.10-14.20
,,,,,,,
5C (Ms. Lisa and Mr. Angga),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,Math,PC Session,07.45-08.00
08.00-08.35,UoI,Assembly,UoI,08.20-08.55,Math,Math,08.00-08.35
08.35-09.10,UoI,UoI,UoI,08.55-09.30,IT,Math,08.35-09.10
09.10-09.45,BI,UoI,P.Pancasila,9.30-10.05,IT,Reacter,09.10-09.45
09.45-10.20,BI,BI,SEL,10.05-10.20,Break,Reacter,09.45-10.20
10.20-10.45,Break,Break,Break,10.20-10.55,English B,Break,10.20-10.45
10.45-11.20,Math,English A,English B,10.55-11.30,English B,Mandarin,10.45-11.20
11.20-11.55,Math,English A,English B,11.30-12.05,Singing,Mandarin,11.20-11.55
11.55-12.25,Break,Break,Break,12.05-12.25,Break,Break,11.55-12.25
12.25-13.00,VA,PSPE,Music,12.25-13.00,BI,UoI,12.25-13.00
13.00-13.35,VA,PSPE,Math,13.00-13.35,BI,UoI,13.00-13.35
13.35-14.10,BI,Library,Math,13.35-14.35,Excur,UoI,13.35-14.10
14.10-14.20,Preparation,Preparation,Preparation,14.35-14.40,Preparation,Preparation,14.10-14.20
,,,,,,,
6A (Mr. Johan and Mr. Ridham),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,Math B,PC Session,07.45-08.00
08.00-08.35,Mandarin,UoI,Math A,08.20-08.55,Math B,English A,08.00-08.35
08.35-09.10,Mandarin,UoI,Math A,08.55-09.30,Music,English A,08.35-09.10
09.10-09.45,Math A,BI,BI,9.30-10.05,BI,VA,09.10-09.45
09.45-10.20,Math A,BI,Singing,10.05-10.20,Break,VA,09.45-10.20
10.20-10.45,Break,Break,Break,10.20-10.55,PSPE,Break,10.20-10.45
10.45-11.20,English B,Math B,English B,10.55-11.30,PSPE,Reacter,10.45-11.20
11.20-11.55,English B,Math B,English B,11.30-12.05,SEL,Reacter,11.20-11.55
11.55-12.25,Break,Break,Break,12.05-12.25,Break,Break,11.55-12.25
12.25-13.00,UoI,IT,BI,12.25-13.00,Library,UoI,12.25-13.00
13.00-13.35,UoI,IT,UoI,13.00-13.35,BI,UoI,13.00-13.35
13.35-14.10,UoI,Assembly,UoI,13.35-14.35,Excur,P.Pancasila,13.35-14.10
14.10-14.20,Preparation,Preparation,Preparation,14.35-14.40,Preparation,Preparation,14.10-14.20
,,,,,,,
6B (Ms. Rani and Mr. Minh),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,Library,PC Session,07.45-08.00
08.00-08.35,Math A,BI,BI,08.20-08.55,English B,PSPE,08.00-08.35
08.35-09.10,Math A,BI,BI,08.55-09.30,English B,PSPE,08.35-09.10
09.10-09.45,Mandarin,Math B,English B,9.30-10.05,Music,English A,09.10-09.45
09.45-10.20,Mandarin,Math B,English B,10.05-10.20,Break,English A,09.45-10.20
10.20-10.45,Break,Break,Break,10.20-10.55,Math B,Break,10.20-10.45
10.45-11.20,IT,Reacter,Singing,10.55-11.30,Math B,UoI,10.45-11.20
11.20-11.55,IT,Reacter,Math B,11.30-12.05,P.Pancasila,UoI,11.20-11.55
11.55-12.25,Break,Break,Break,12.05-12.25,Break,Break,11.55-12.25
12.25-13.00,UoI,UoI,Math B,12.25-13.00,BI,SEL,12.25-13.00
13.00-13.35,UoI,UoI,UoI,13.00-13.35,BI,VA,13.00-13.35
13.35-14.10,UoI,Assembly,UoI,13.35-14.35,Excur,VA,13.35-14.10
14.10-14.20,Preparation,Preparation,Preparation,14.35-14.40,Preparation,Preparation,14.10-14.20
,,,,,,,
6C (Ms. Sandri and Ms. Angi),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,Math A,PC Session,07.45-08.00
08.00-08.35,English B,Mandarin,English B,08.20-08.55,Math A,Math B,08.00-08.35
08.35-09.10,English B,Mandarin,English B,08.55-09.30,BI,Math B,08.35-09.10
09.10-09.45,P.Pancasila,Reacter,Math B,9.30-10.05,BI,PSPE,09.10-09.45
09.45-10.20,Library,Reacter,Math B,10.05-10.20,Break,PSPE,09.45-10.20
10.20-10.45,Break,Break,Break,10.20-10.55,Music,Break,10.20-10.45
10.45-11.20,BI,Math A,BI,10.55-11.30,English A,VA,10.45-11.20
11.20-11.55,BI,Math A,Singing,11.30-12.05,English A,VA,11.20-11.55
11.55-12.25,Break,Break,Break,12.05-12.25,Break,Break,11.55-12.25
12.25-13.00,UoI,UoI,BI,12.25-13.00,IT,UoI,12.25-13.00
13.00-13.35,UoI,UoI,UoI,13.00-13.35,IT,SEL,13.00-13.35
13.35-14.10,UoI,Assembly,UoI,13.35-14.35,Excur,UoI,13.35-14.10
14.10-14.20,Preparation,Preparation,Preparation,14.35-14.40,Preparation,Preparation,14.10-14.20
,,,,,,,
6D (Ms. Nia and Ms. Inggrid),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,English A,PC Session,07.45-08.00
08.00-08.35,BI,Math A,BI,08.20-08.55,English A,UoI,08.00-08.35
08.35-09.10,BI,Math A,BI,08.55-09.30,Math A,UoI,08.35-09.10
09.10-09.45,English B,Mandarin,IT,9.30-10.05,Math A,Reacter,09.10-09.45
09.45-10.20,English B,Mandarin,IT,10.05-10.20,Break,Reacter,09.45-10.20
10.20-10.45,Break,Break,Break,10.20-10.55,BI,Break,10.20-10.45
10.45-11.20,Library,UoI,UoI,10.55-11.30,Music,PSPE,10.45-11.20
11.20-11.55,P.Pancasila,UoI,UoI,11.30-12.05,BI,PSPE,11.20-11.55
11.55-12.25,Break,Break,Break,12.05-12.25,Break,Break,11.55-12.25
12.25-13.00,UoI,English B,Singing,12.25-13.00,VA,Math B,12.25-13.00
13.00-13.35,UoI,English B,IT,13.00-13.35,VA,Math B,13.00-13.35
13.35-14.10,UoI,Assembly,IT,13.35-14.35,Excur,SEL,13.35-14.10
14.10-14.20,Preparation,Preparation,Preparation,14.35-14.40,Preparation,Preparation,14.10-14.20
